,id,Cause,Object,Occupation
135,202546438,Caught in/between Objects,saw,no_occupation
136,201262318,Falls,amusement-ride,no_occupation
137,202570495,Falls,no_object,coworker
138,202658472,Falls,no_object,journeyman
139,202657771,Falls,no_object,foreman
140,202614806,Falls,no_object,no_occupation
141,202369518,Falls,tower,no_occupation
142,201078680,Falls,no_object,laborer
143,201078169,Electrocution,dam,laborer
144,202554762,Falls,no_object,coworker
145,200556843,Falls,ceiling,no_occupation
146,202005427,Falls,house,roofer
147,201127834,Falls,ladder,foremancarpenter
148,200381051,Falls,fromtelecommunication-tower,breaker
149,202089413,Electrocution,no_object,no_occupation
150,202573846,Electrocution,power-line,crozer
151,201773348,Falls,no_object,worker
152,202458733,Falls,brain,contractor
153,202464418,Struck By Moving Objects,arch,contractor
154,311460737,Struck By Moving Objects,no_object,no_occupation
155,200072981,Caught in/between Objects,ammonia,dehumidifier
156,201460136,Falls,no_object,no_occupation
157,201187143,Struck By Moving Objects,no_object,carpenter
158,201408705,Struck By Moving Objects,truck,contractor
159,201024825,Falls,picture,no_occupation
160,202675625,Struck By Moving Objects,no_object,no_occupation
161,201187127,Falls,plywood,subcontractor
162,202675302,Falls,plank,driver
163,171044845,Falls,no_object,no_occupation
164,200536027,Falls,ladder,worker
165,202723722,Falls,tower,worker
166,202522116,Caught in/between Objects,no_object,no_occupation
167,200003143,Falls,tower,inman
168,201494150,Struck By Moving Objects,no_object,no_occupation
169,200002160,Falls,tower,no_occupation
170,201272382,Struck By Moving Objects,antenna,no_occupation
171,201572831,Falls,tower,no_occupation
172,200354363,Falls,tower,no_occupation
173,202338265,Falls,tower,no_occupation
174,201172913,Falls,antenna-tower,no_occupation
175,202531729,Fires and Explosion,arc,worker
176,201331246,Struck By Moving Objects,tank,no_occupation
177,202530093,Other,body,welder
178,202609038,Electrocution,arc-welding,welder
179,201127289,Struck By Moving Objects,no_object,ironworker
180,201125580,Struck By Moving Objects,arc-welder,no_occupation
181,200602498,Other,support-pole,coworker
182,201352176,Struck By Moving Objects,arc-welder,welder
183,200602456,Struck By Moving Objects,arc-welding,coworker
184,201681202,Struck By Moving Objects,vapor-plug,foreman
185,200231298,Struck By Moving Objects,arc-flash,no_occupation
186,200210805,Other,no_object,no_occupation
187,200780344,Struck By Moving Objects,argon-gas,coworker
188,724955,Struck By Moving Objects,argon-gas,coworker
189,202675740,Struck By Moving Objects,operating-chop,foreman
190,201079845,Falls,no_object,journeyman
191,202654919,Caught in/between Objects,fire,coworker
192,200000453,Electrocution,power-line,no_occupation
193,784959,Electrocution,power-line,conductor
194,14371819,Electrocution,power-line,foreman
195,201079365,Caught in/between Objects,metal,excavator
196,202458303,Electrocution,saw,maker
197,202570305,Falls,scaffold,installer
198,202422341,Struck By Moving Objects,steel-drill,no_occupation
199,312668536,Struck By Moving Objects,saw,owner
200,200515187,Struck By Moving Objects,backhoe,no_occupation
201,201077724,Falls,multiple,contractor
202,202518320,Falls,ladder,goleman
203,201573458,Struck By Moving Objects,no_object,no_occupation
204,202501995,Falls,decking,coworker
205,200801777,Falls,no_object,no_occupation
206,202444469,Falls,ladder,stapler
207,201800729,Falls,no_object,coworker
208,200052629,Falls,no_object,coworker
209,200513893,Struck By Moving Objects,elevator-car,no_occupation
210,200541233,Falls,no_object,no_occupation
211,201572781,Falls,elevator-shaft,coworker
212,201118551,Caught in/between Objects,no_object,contractor
213,200830875,Struck By Moving Objects,no_object,contractor
214,201953544,Struck By Moving Objects,no_object,no_occupation
215,201143351,Falls,framework,worker
216,200120640,Struck By Moving Objects,carbon-monoxide,terminator
217,201152568,Falls,no_object,coworker
218,202085510,Falls,platform,no_occupation
219,170900856,Falls,scaffold,coworker
220,170383459,Falls,pipe,worker
